similarity_score,sample_id,report_length,summary_length,processing_time
0.893869161605835,342895,27683,3433,0.0012785506248474121
0.9216681718826294,370930,7993,1604,0.0012785506248474121
0.881409227848053,469065,28637,3848,0.0012785506248474121
0.9241271615028381,368588,12191,3191,0.0012785506248474121
0.9421144723892212,586710,37965,4011,0.0012785506248474121
0.9375017881393433,815345,27202,4502,0.0012785506248474121
0.9327988028526306,134940,24085,3918,0.0012785506248474121
0.9232445359230042,326701,24197,4331,0.0012785506248474121
0.8940187692642212,905421,43232,4561,0.0012785506248474121
0.8188273906707764,796123,23590,3759,0.0012785506248474121
0.9345597624778748,14777,36062,4756,0.0012785506248474121
0.9072977900505066,834447,34369,4428,0.0012785506248474121
0.862953245639801,139633,45722,3549,0.0012785506248474121
0.8632646799087524,440026,41723,3396,0.0012785506248474121
0.919301450252533,696157,34977,3796,0.0012785506248474121
